,words,phone,phone_order,wordnum,start_s,end_s,audibility,ids,filename
5400,gleitet,ɡ,7,3,0.8971201814058957,0.9370975056689342,0.009375,209,209.csv
5401,gleitet,l,8,3,0.9371201814058957,1.0770975056689343,0.3224826388888889,209,209.csv
5402,gleitet,aɪ,9,3,1.0771201814058957,1.2570975056689342,0.7038043478260869,209,209.csv
5403,gleitet,t,10,3,1.2571201814058957,1.3970975056689343,0.2825520833333333,209,209.csv
5404,gleitet,ə,11,3,1.3971201814058958,1.4970975056689342,0.7097355769230769,209,209.csv
5405,gleitet,t,12,3,1.4971201814058956,1.5770975056689343,0.1171875,209,209.csv
5406,über,ʔ,13,4,1.5771201814058957,1.6270975056689343,0.0,209,209.csv
5407,über,yː,14,4,1.6271201814058958,1.7370975056689342,0.04743303571428571,209,209.csv
5408,über,b,15,4,1.7371201814058956,1.7670975056689342,0.021484375,209,209.csv
5409,über,ɐ,16,4,1.7671201814058957,1.8670975056689343,0.4092548076923077,209,209.csv
5410,das,d,17,5,1.8671201814058958,1.9270975056689343,0.33984375,209,209.csv
5411,das,a,18,5,1.9271201814058956,2.027097505668934,0.4140625,209,209.csv
5412,das,s,19,5,2.0271201814058957,2.157097505668934,0.6424632352941176,209,209.csv
5413,Wasser,v,20,6,2.1571201814058956,2.217097505668934,0.2734375,209,209.csv
5414,Wasser,a,21,6,2.2171201814058956,2.3370975056689343,0.4421875,209,209.csv
5415,Wasser,s,22,6,2.3371201814058957,2.487097505668934,0.3190789473684211,209,209.csv
5416,Wasser,ɐ,23,6,2.4871201814058956,2.6870975056689343,0.6734375,209,209.csv
5417,Mein,m,1,1,0.0,0.15709750566893424,0.26640625,097,097.csv
5418,Mein,aɪ,2,1,0.1571201814058957,0.2870975056689342,0.8524816176470589,097,097.csv
5419,Mein,n,3,1,0.2871201814058957,0.36709750566893423,0.13359375,097,097.csv
5420,Arzt,ʔ,4,2,0.3671201814058957,0.45709750566893426,0.033854166666666664,097,097.csv
5421,Arzt,a,5,2,0.45712018140589566,0.6770975056689342,0.5072544642857143,097,097.csv
5422,Arzt,r,6,2,0.6771201814058957,0.7070975056689343,0.0,097,097.csv
5423,Arzt,ts,7,2,0.7071201814058957,0.8270975056689343,0.20104166666666667,097,097.csv
5424,Arzt,t,8,2,0.8271201814058957,0.8870975056689342,0.310546875,097,097.csv
5425,empfahl,ʔ,9,3,0.8871201814058957,0.9270975056689342,0.171875,097,097.csv
5426,empfahl,ɛ,10,3,0.9271201814058957,0.9970975056689343,0.3376736111111111,097,097.csv
5427,empfahl,m,11,3,0.9971201814058956,1.0570975056689342,0.16796875,097,097.csv
5428,empfahl,p,12,3,1.0571201814058957,1.0870975056689343,0.0,097,097.csv
5429,empfahl,f,13,3,1.0871201814058957,1.2170975056689342,0.3239889705882353,097,097.csv
5430,empfahl,aː,14,3,1.2171201814058956,1.3670975056689343,0.6422697368421053,097,097.csv
5431,empfahl,l,15,3,1.3671201814058958,1.4470975056689341,0.765625,097,097.csv
5432,dringend,d,16,4,1.4471201814058956,1.5170975056689342,0.003472222222222222,097,097.csv
